goos: darwin
goarch: amd64
pkg: github.com/bsv-blockchain/go-tx-map
cpu: Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz
BenchmarkSwissLockFreeMapUint64Put/dolthub-16              	13764048	       126.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissLockFreeMapUint64Put/cockroachdb-16          	12295677	       145.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissLockFreeMapUint64Put/cockroachdb-16          	11881636	       144.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissLockFreeMapUint64Put/cockroachdb-16          	12581779	       146.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissLockFreeMapUint64Get/dolthub-16              	48886887	        23.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissLockFreeMapUint64Get/dolthub-16              	52543416	        25.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissLockFreeMapUint64Get/dolthub-16              	50065353	        23.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissLockFreeMapUint64Get/cockroachdb-16          	73491849	        16.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissLockFreeMapUint64Get/cockroachdb-16          	74902747	        16.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissLockFreeMapUint64Get/cockroachdb-16          	74456425	        16.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitSwissLockFreeMapUint64Put/dolthub-16         	10768287	       182.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitSwissLockFreeMapUint64Put/dolthub-16         	10587445	       163.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitSwissLockFreeMapUint64Put/dolthub-16         	10998296	       168.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitSwissLockFreeMapUint64Put/cockroachdb-16     	 9075798	       174.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitSwissLockFreeMapUint64Put/cockroachdb-16     	 8385828	       171.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitSwissLockFreeMapUint64Put/cockroachdb-16     	 8155456	       175.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitSwissLockFreeMapUint64Get/dolthub-16         	20431035	        63.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitSwissLockFreeMapUint64Get/dolthub-16         	18965292	        64.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitSwissLockFreeMapUint64Get/dolthub-16         	20809227	        57.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitSwissLockFreeMapUint64Get/cockroachdb-16     	25294910	        47.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitSwissLockFreeMapUint64Get/cockroachdb-16     	24509557	        47.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplitSwissLockFreeMapUint64Get/cockroachdb-16     	25480994	        47.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissMapUint64Iter/dolthub-16                     	   15531	     76122 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissMapUint64Iter/dolthub-16                     	   15514	     77077 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissMapUint64Iter/dolthub-16                     	   15717	     77244 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwissMapUint64Iter/cockroachdb-16                 	   10000	    110206 ns/op	       0 B/op	       0 allocs/op
